"Duration" "Amount" "InstallmentRatePercentage" "ResidenceDuration" "Age"
"936" 30 1919 4 3 30
"937" 9 745 3 2 28
"938" 6 2063 4 3 30
"939" 60 6288 4 4 42
"940" 24 6842 2 4 46
"941" 12 3527 2 3 45
"942" 10 1546 3 2 31
"943" 24 929 4 2 31
"944" 4 1455 2 1 42
"945" 15 1845 4 1 46
"946" 48 8358 1 1 30
"947" 24 3349 4 4 30
"948" 12 2859 4 4 38
"949" 18 1533 4 1 43
"950" 24 3621 2 4 31
"951" 18 3590 3 3 40
"952" 36 2145 2 1 24
"953" 24 4113 3 4 28
"954" 36 10974 4 2 26
"955" 12 1893 4 4 29
"956" 24 1231 4 4 57
"957" 30 3656 4 4 49
"958" 9 1154 2 4 37
"959" 28 4006 3 2 45
"960" 24 3069 4 4 30
"961" 6 1740 2 2 30
"962" 21 2353 1 4 47
"963" 15 3556 3 2 29
"964" 24 2397 3 2 35
"965" 6 454 3 1 22
"966" 30 1715 4 1 26
"967" 27 2520 4 2 23
"968" 15 3568 4 2 54
"969" 42 7166 2 4 29
"970" 11 3939 1 2 40
"971" 15 1514 4 2 22
"972" 24 7393 1 4 43
"973" 24 1193 1 4 29
"974" 60 7297 4 4 36
"975" 30 2831 4 2 33
"976" 24 1258 3 3 57
"977" 6 753 2 3 64
"978" 18 2427 4 2 42
"979" 24 2538 4 4 47
"980" 15 1264 2 2 25
"981" 30 8386 2 2 49
"982" 48 4844 3 2 33
"983" 21 2923 1 1 28
"984" 36 8229 2 2 26
"985" 24 2028 2 2 30
"986" 15 1433 4 3 25
"987" 42 6289 2 1 33
"988" 13 1409 2 4 64
"989" 24 6579 4 2 29
"990" 24 1743 4 2 48
"991" 12 3565 2 1 37
"992" 15 1569 4 4 34
"993" 18 1936 2 4 23
"994" 36 3959 4 3 30
"995" 12 2390 4 3 50
"996" 12 1736 3 4 31
"997" 30 3857 4 4 40
"998" 12 804 4 4 38
"999" 45 1845 4 4 23
"1000" 45 4576 3 4 27
